Country,Country_Code,Year,Fertility_Rate,Urban_Population_Percent,Total_Population,Water_Access_Percent,Unemployment_Rate,Sanitary_Expense_Per_GDP,Life_Expectancy,Life_Expectancy_Female,Life_Expectancy_Male,Infant_Deaths,GDP_Per_Capita,Hospital_Beds_Per_1000,Female_Population,Male_Population,Alcohol_Consumption_Per_Capita,Immunization_Rate,Sanitary_Expense_Per_Capita,CO2_Exposure_Percent,Air_Pollution,Labour_Force_Total,Tuberculosis_Per_100000,Suicide_Rate_Percent,Obesity_Rate_Percent,Underweight_Rate_Percent,Overweight_Rate_Percent,Safe_Water_Access_Percent,log_GDP_Per_Capita,Life_Expectancy_Score,log_GDP_Per_Capita_Score,Safe_Water_Access_Percent_Score,Unemployment_Rate_Score,Immunization_Rate_Score,Aggregate_Score
Albania,ALB,2012,1.692,54.33,2900401.0,66.3808520347694,13.376,6.15746212,78.064,80.703,75.73,352.0,4247.63134315945,2.89,1445914.0,1454486.0,5.37,99.0,262.2885437,20.9627204112539,20.9627204112539,1328695.0,16.0,3.42,15.7,0.68,53.49,88.56,8.354116775530493,0.8231177671885634,0.42568300273852916,0.8462158892324237,0.6271519645013622,1.0,0.7444337247321757
Albania,ALB,2013,1.697,55.387,2895092.0,68.459832807363,15.866,6.28286266,78.123,80.781,75.786,330.0,4413.06338346821,2.9,1442931.0,1452162.0,5.04,99.0,278.04251099,19.4075322522058,19.4075322522058,1227940.0,19.0,3.54,16.27,0.68,53.9,89.25,8.392324372064252,0.8247243022464262,0.4311499748878945,0.8554913294797688,0.5572218945712922,1.0,0.7337175002370764
Albania,ALB,2014,1.674,56.423,2889104.0,70.5632610188294,18.055,6.43451118,78.407,81.013,76.114,312.0,4578.63320812155,2.88,1439863.0,1449241.0,5.0,98.0,295.12359619,19.3679442180935,19.3679442180935,1256110.0,16.0,3.22,16.88,0.68,54.31,89.94,8.429155806395945,0.8324574540503743,0.4364200374927128,0.8647667697271139,0.49574521863678495,0.9875,0.7233778959813971
Albania,ALB,2015,1.613,57.434,2880703.0,70.5919698860001,17.193,6.46411896,78.644,81.183,76.404,293.0,3952.80357364813,2.85,1435812.0,1444890.0,5.04,99.0,255.35635376,19.121557306579,19.121557306579,1308343.0,17.0,3.17,17.54,0.69,54.73,90.63,8.282180371611311,0.8389108236895848,0.41538991046290863,0.8740422099744589,0.5199539416406886,1.0,0.7296593771535282
Albania,ALB,2016,1.551,58.421,2876101.0,70.6165078550165,15.418,6.7293272,78.86,81.377,76.639,277.0,4124.05538986272,2.84,1433925.0,1442176.0,5.13,98.0,277.04321289,17.602163992984,17.602163992984,1354998.0,17.0,3.05,18.24,0.69,55.16,91.32,8.324592276148186,0.844792375765827,0.42145846022629846,0.8833176502218039,0.5698036902856181,0.9875,0.7413744352999094
Albania,ALB,2017,1.491,59.383,2873457.0,70.6369415898919,13.616,6.57848787,79.047,81.504,76.873,265.0,4531.03220675893,2.84,1433238.0,1440219.0,5.13,99.0,297.4619751,18.5552438171978,18.5552438171978,1377319.0,20.0,2.94,18.99,0.69,55.59,92.01,8.41870505273257,0.8498842750170182,0.43492468095629544,0.8925930904691491,0.620411716797259,1.0,0.7595627526479445
Albania,ALB,2018,1.44,60.319,2866376.0,70.65335162337,12.304,6.66844559,79.184,81.608,77.037,256.0,5287.66080067575,2.84,1430495.0,1435881.0,5.11,99.0,351.3012085,19.0461862321065,19.0461862321065,1409389.0,18.0,2.8,19.77,0.69,56.01,92.7,8.573131234367432,0.8536147038801905,0.4570209055482998,0.9018685307164942,0.6572584042463561,1.0,0.7739525088782682
Albania,ALB,2019,1.414,61.229,2854191.0,70.6658550054076,11.466,6.86214113,79.282,81.666,77.168,250.0,5396.2142432843,2.85,1425364.0,1428828.0,5.11,99.0,367.75839233,15.70470712234,15.70470712234,1433004.0,16.0,2.68,20.59,0.7,56.43,93.4,8.593452920632176,0.8562831858407078,0.4599286543447814,0.9112783976340907,0.6807931024798495,1.0,0.7816566680598859
Albania,ALB,2020,1.4,62.112,2837849.0,70.6745374149515,12.79,7.51920271,76.989,79.676,74.632,248.0,5343.0377039956,2.91,1418585.0,1419264.0,4.47,98.0,396.88024902,15.7070036417042,15.7070036417042,1359716.0,16.0,,21.45,0.71,56.85,94.09,8.583549628641762,0.7938461538461539,0.45851163190918315,0.9205538378814357,0.6436094026455473,0.9875,0.760804205256464
Albania,ALB,2021,1.39,62.969,2811666.0,70.7057950614818,12.473,7.26731825,76.463,79.173,74.087,247.0,6377.20309553753,,1407212.0,1404454.0,,98.0,464.74285889,,,1382433.0,15.0,,22.36,0.71,57.27,94.09,8.760484893940093,0.7795234853641931,0.48382859124138994,0.9205538378814357,0.6525121464880501,0.9875,0.7647836121950137
Algeria,DZA,2012,2.956,68.915,37260563.0,75.867622968565,10.97,6.00050974,74.202,75.478,72.971,21025.0,6096.09001549263,1.67,18264572.0,18995990.0,0.48,95.0,336.67266846,24.3968164333132,24.3968164333132,11293832.0,73.0,2.12,10.64,4.79,42.02,87.34,8.715402863578431,0.7179577944179714,0.47737798385481217,0.8298158354617556,0.694722947734996,0.95,0.733974912293907
Algeria,DZA,2013,2.957,69.576,38000626.0,76.2501426819848,9.82,6.03576279,74.615,75.84,73.43,21236.0,6044.67490330703,1.66,18629532.0,19371095.0,0.52,95.0,333.16027832,22.3802640164928,22.3802640164928,11793700.0,68.0,2.07,11.13,4.7,42.88,87.68,8.706932982166338,0.7292035398230087,0.4761660624049134,0.8343863422503025,0.7270199679838234,0.95,0.7433551824924096
Algeria,DZA,2014,3.004,70.221,38760168.0,76.6182319353339,10.207,6.54721403,75.11,76.467,73.803,21357.0,6164.64469897525,1.65,19004433.0,19755734.0,0.56,95.0,361.15942383,24.111122951181,24.111122951181,11279335.0,72.0,2.02,11.64,4.6,43.75,88.02,8.726585781979063,0.7426820966643974,0.47897810291466614,0.8389568490388493,0.7161513185609572,0.95,0.7453536734357741
Algeria,DZA,2015,3.041,70.848,39543154.0,76.9719606352109,11.206,6.96321011,75.622,76.824,74.456,21545.0,4741.49977033558,1.64,19390923.0,20152232.0,0.58,95.0,292.275177,25.6188658260447,25.6188658260447,11709257.0,75.0,1.99,12.16,4.52,44.62,88.35,8.4641087718867,0.7566235534377127,0.44142131750536273,0.8433929291571447,0.6880950374926279,0.95,0.7359065675185695
Algeria,DZA,2016,3.051,71.459,40339329.0,76.3948592626,10.202,6.58904791,75.732,76.803,74.693,21532.0,4481.08196153066,1.62,19783015.0,20556314.0,0.6,91.0,261.40023804,25.5531525527547,25.5531525527547,11918706.0,70.0,1.91,12.72,4.43,45.5,88.69,8.407619805520598,0.7596187882913545,0.433338537276121,0.8479634359456916,0.716291740388126,0.9,0.7314425003802586
Algeria,DZA,2017,3.05,72.052,41136546.0,75.7305417878483,12.0,6.53307724,75.743,76.821,74.7,21292.0,4615.86874364885,1.63,20175233.0,20961313.0,0.61,91.0,265.83843994,24.7521457818965,24.7521457818965,12069182.0,70.0,1.86,13.26,4.35,46.35,89.03,8.437255372698912,0.7599183117767186,0.4375789720349872,0.8525339427342384,0.6657960513382201,0.9,0.7231654555768329
Algeria,DZA,2018,3.023,72.629,41927007.0,75.036130399841,12.15,6.38729763,76.066,77.205,74.966,20798.0,4640.31414537956,,20564404.0,21362603.0,0.61,91.0,266.46469116,24.9335900639775,24.9335900639775,12225526.0,69.0,1.86,13.77,4.27,47.16,89.36,8.4425373466741,0.768713410483322,0.43833474856205856,0.856970022852534,0.6615833965231557,0.9,0.7251203156842141
Algeria,DZA,2019,2.988,73.189,42705368.0,73.9538774939834,12.285,5.86751413,76.474,77.76,75.238,20109.0,4530.10174483631,,20948465.0,21756903.0,0.61,88.0,235.99041748,24.3886086444981,24.3886086444981,12402025.0,61.0,1.83,14.29,4.19,47.94,89.7,8.41849967845362,0.7798230088495576,0.43489529477226196,0.8615405296410809,0.6577920071895976,0.8625,0.7193101680904996
Algeria,DZA,2020,2.942,73.733,43451666.0,72.2481473302903,14.04,6.14268684,74.453,75.912,73.082,19292.0,3794.40952448639,,21318767.0,22132899.0,0.54,84.0,206.03512573,25.5526558310447,25.5526558310447,11881326.0,58.0,,14.8,4.12,48.71,90.04,8.241284084703166,0.7247923757658271,0.4095382243632154,0.8661110364296277,0.6085039458533436,0.8125,0.6842891164824028
Algeria,DZA,2021,2.889,74.261,44177969.0,70.5470307769978,13.607,5.5283432,76.377,77.959,74.879,18384.0,4216.2512851303,,21680725.0,22497244.0,,81.0,204.56661987,,,12202063.0,54.0,,15.32,4.05,49.49,90.37,8.346701691179916,0.7771817562968004,0.42462200798074645,0.8705471165479232,0.6206644760861629,0.775,0.6936030713823266
Andorra,AND,2012,,88.631,71013.0,90.6399981887222,,6.71083689,,,,3.0,44902.3807663645,,35127.0,35885.0,10.32,99.0,3013.51464844,12.2593146393596,12.2593146393596,,13.0,,16.33,1.51,39.63,100.0,10.712246096074402,,0.7630982941878236,1.0,,1.0,0.9210327647292745
Andorra,AND,2013,,88.537,71367.0,90.6400019476396,,6.79964209,,,,3.0,44747.7538641695,,35324.0,36043.0,10.14,96.0,3041.84155273,11.2698563251216,11.2698563251216,,7.6,,16.58,1.53,39.58,100.0,10.70879652946384,,0.7626047095005307,1.0,,0.9625,0.908368236500177
Andorra,AND,2014,,88.441,71621.0,90.6400003669046,,6.77308035,,,,2.0,45680.5349920165,,35473.0,36148.0,10.38,97.0,3089.84301758,10.4359992732348,10.4359992732348,,9.4,,16.81,1.56,39.53,100.0,10.729427555995471,,0.7655567205583734,1.0,,0.975,0.9135189068527912
Andorra,AND,2015,,88.345,71746.0,90.6400015710857,,6.91586447,,,,2.0,38885.5303222983,,35557.0,36188.0,10.76,97.0,2688.20629883,11.1088936507291,11.1088936507291,,6.4,,17.04,1.59,39.48,100.0,10.568377489258966,,0.742512710744148,1.0,,0.975,0.9058375702480493
Andorra,AND,2016,,88.248,72540.0,90.6399963774364,,6.90521765,,,,2.0,39931.2169800216,,35913.0,36628.0,11.19,98.0,2755.44848633,10.1068248002358,10.1068248002358,,6.4,,17.23,1.63,39.44,100.0,10.594913677429581,,0.7463096677589891,1.0,,0.9875,0.9112698892529965
Andorra,AND,2017,,88.15,73837.0,90.6400033809841,,7.07142639,,,,2.0,40632.2315521995,,36456.0,37380.0,11.1,99.0,2873.29614258,10.0219190390452,10.0219190390452,,1.6,,17.38,1.68,39.4,100.0,10.612316911229351,,0.7487998268666988,1.0,,1.0,0.9162666089555662
Andorra,AND,2018,,88.062,75013.0,90.6399959806121,,7.37541723,,,,2.0,42904.8284559223,,36943.0,38071.0,11.05,99.0,3164.38842773,9.89580638748632,9.89580638748632,,3.1,,17.53,1.73,39.36,100.0,10.666739650002773,,0.7565869588550612,1.0,,1.0,0.9188623196183537
Andorra,AND,2019,,87.984,76343.0,90.6399970923255,,7.323246,,,,2.0,41328.6004978373,,37502.0,38842.0,11.05,99.0,3026.59741211,9.01087465277866,9.01087465277866,,7.5,,17.67,1.79,39.32,100.0,10.62931004527839,,0.7512313064415639,1.0,,1.0,0.917077102147188
Andorra,AND,2020,,87.916,77700.0,90.6399986650032,,8.78673935,,,,2.0,37207.2219994994,,38084.0,39615.0,9.68,99.0,3269.29736328,9.08028059086901,9.08028059086901,,3.0,,17.82,1.85,39.29,100.0,10.52425816119004,,0.7361998525776207,1.0,,1.0,0.9120666175258735
Andorra,AND,2021,,87.858,79034.0,90.640001548707,,8.33449364,,,,2.0,42066.4905178822,,38673.0,40361.0,,99.0,3505.99145508,,,,2.9,,17.98,1.92,39.27,100.0,10.647006753040317,,0.7537634575645594,1.0,,1.0,0.9179211525215197
Angola,AGO,2012,6.039,61.268,25188292.0,,16.557,2.39574957,58.623,61.024,56.22,71987.0,5083.82687346735,,12770743.0,12417550.0,8.61,53.0,121.79575348,24.4804929012722,24.4804929012722,10527326.0,380.0,11.23,11.36,10.12,18.73,25.61,8.533819578516962,0.2937508509189924,0.4513959579677823,0.0,0.537815598056562,0.425,0.3415924813886674
Angola,AGO,2013,5.953,62.002,26147002.0,,16.487,2.73282695,59.307,61.684,56.925,69951.0,5061.34925297484,,13252938.0,12894065.0,8.74,54.0,142.88616943,24.5386584342125,24.5386584342125,10886364.0,376.0,11.31,11.7,9.97,19.04,25.98,8.52938837752205,0.3123757658270933,0.4507619151431828,0.004973786799300994,0.5397815036369255,0.4375,0.3490785942813005
Angola,AGO,2014,5.864,62.731,27128337.0,,16.401,2.43412876,60.04,62.472,57.606,68198.0,5011.9844274536,,13746371.0,13381965.0,8.32,55.0,130.74234009,23.9455836380328,23.9455836380328,11251540.0,370.0,10.44,12.06,11.0,19.36,26.35,8.519587208958777,0.33233492171545265,0.44935950514025824,0.009947573598601989,0.5421967590642289,0.45,0.35676775190370835
Angola,AGO,2015,5.774,63.446,28127721.0,,16.491,2.60579467,60.655,63.094,58.213,66685.0,3217.33924005417,,14248799.0,13878923.0,7.76,59.0,107.64356232,25.0021502571501,25.0021502571501,11623549.0,366.0,10.46,12.44,10.82,19.67,26.71,8.0763099739809,0.3490810074880871,0.38593273879209233,0.014786933727651585,0.5396691661751903,0.5,0.35789396923660427
Angola,AGO,2016,5.686,64.149,29154746.0,,16.58,2.71314979,61.092,63.434,58.741,65491.0,1809.70937719455,,14764575.0,14390171.0,7.01,59.0,94.1061554,25.1807008149163,25.1807008149163,12011479.0,362.0,9.96,12.82,10.65,20.01,27.08,7.500921546282034,0.36098025867937367,0.30360271035082603,0.019760720526952533,0.5371696576515854,0.5,0.34430266944174753
Angola,AGO,2017,5.6,64.839,30208628.0,,16.617,2.79383755,61.68,64.019,59.331,64451.0,2439.37443934002,,15293335.0,14915293.0,6.67,56.0,112.85147095,23.9591508117097,23.9591508117097,12415650.0,359.0,2.43,13.22,10.49,20.36,27.44,7.7994969080973,0.37699115044247783,0.3463246645069449,0.024600080656002176,0.5361305361305362,0.4625,0.3493092863471922
Angola,AGO,2018,5.519,65.514,31273533.0,,16.599,2.58879566,62.144,64.717,59.582,63628.0,2540.50887884546,,15828040.0,15445494.0,6.17,63.0,83.89920044,24.2650153621146,24.2650153621146,12825924.0,355.0,2.28,13.64,10.34,20.72,27.81,7.840119685948152,0.3896255956432947,0.3521372152897254,0.029573867455303122,0.5366360547083439,0.55,0.37159454661933344
Angola,AGO,2019,5.442,66.177,32353588.0,,16.497,2.47517991,62.448,64.922,59.977,62882.0,2191.34776433537,0.75,16370553.0,15983035.0,6.17,57.0,64.65779114,24.5988113283925,24.5988113283925,13246117.0,351.0,9.95,14.06,10.21,21.09,27.81,7.692272051023587,0.3979033356024506,0.3309822886308878,0.029573867455303122,0.5395006599825878,0.475,0.35459203033424586
Angola,AGO,2020,5.371,66.825,33428486.0,,16.676,3.22070646,62.261,64.982,59.584,62306.0,1450.90511139418,,16910989.0,16517497.0,4.13,51.0,55.05102158,25.1452381976267,25.1452381976267,13728470.0,328.0,,14.5,10.08,21.49,27.81,7.279942855428233,0.3928114363512594,0.27198375343911574,0.029573867455303122,0.5344735585699442,0.4,0.32576852316312455
Angola,AGO,2021,5.304,67.46,34503774.0,,15.799,2.96010613,61.643,64.307,59.029,61828.0,1927.47407827687,,17452283.0,17051491.0,,45.0,64.16342163,,,14445598.0,324.0,,10.19,9.96,21.91,27.81,7.5639656569822655,0.37598366235534375,0.3126234399608433,0.029573867455303122,0.5591035470553544,0.325,0.3204569033653689
Antigua and Barbuda,ATG,2012,1.655,25.526,87674.0,,,5.47921467,77.35,79.961,74.476,12.0,15136.8411091932,,46022.0,41653.0,6.44,98.0,749.94378662,17.5622893176979,17.5622893176979,,4.0,0.0,18.52,4.98,48.82,98.35,9.624886859858243,0.8036759700476512,0.6075124107497886,0.9778195994085226,,0.9875,0.8441269950514907
Antigua and Barbuda,ATG,2013,1.537,25.35,88497.0,,,5.50909233,77.583,80.23,74.671,11.0,14977.0718321065,3.98,46401.0,42096.0,7.0,99.0,735.49279785,18.0647918322846,18.0647918322846,,13.0,0.0,19.02,4.95,49.37,98.35,9.614275766142107,0.8100204220558201,0.6059941117966167,0.9778195994085226,,1.0,0.8484585333152399
Antigua and Barbuda,ATG,2014,1.526,25.175,89236.0,,,5.87269926,77.858,80.535,74.908,10.0,15451.4952444039,3.93,46748.0,42488.0,7.24,99.0,822.39221191,18.1521399923532,18.1521399923532,,3.9,0.0,19.53,4.91,49.9,98.35,9.645461057216119,0.8175085091899251,0.6104562903484875,0.9778195994085226,,1.0,0.8514460997367338
Antigua and Barbuda,ATG,2015,1.567,25.0,89941.0,,,5.27965546,77.913,80.389,75.148,10.0,15985.5411386971,4.01,47087.0,42853.0,7.39,99.0,784.64538574,19.7963197860936,19.7963197860936,,4.3,0.0,20.04,4.87,50.42,98.35,9.679439913826613,0.819006126616746,0.6153181890181072,0.9778195994085226,,1.0,0.8530359787608439
Antigua and Barbuda,ATG,2016,1.458,24.846,90564.0,,,5.12190151,78.152,80.645,75.366,10.0,16449.0591470407,3.36,47388.0,43176.0,7.73,92.0,812.51092529,19.9208792974299,19.9208792974299,,3.8,0.0,20.57,4.84,50.94,98.35,9.708023559849066,0.8255139550714772,0.6194081085866933,0.9778195994085226,,0.9125,0.8338104157666733
Antigua and Barbuda,ATG,2017,1.485,24.713,91119.0,,,4.87493944,78.268,80.721,75.52,10.0,16803.8702340001,3.24,47658.0,43461.0,8.26,95.0,785.4710083,19.0159494088973,19.0159494088973,,1.3,0.0,21.11,4.8,51.45,98.35,9.729364509931445,0.8286725663716814,0.6224616997655648,0.9778195994085226,,0.95,0.8447384663864421
Antigua and Barbuda,ATG,2018,1.371,24.599,91626.0,,,4.84869289,78.511,81.0,75.724,9.0,18133.8226008953,,47910.0,43715.0,8.51,95.0,849.83349609,18.9233007168875,18.9233007168875,,6.3,0.0,21.68,4.77,51.95,98.35,9.805534125478946,0.8352893124574539,0.6333605053593193,0.9778195994085226,,0.95,0.849117354306324
Antigua and Barbuda,ATG,2019,1.468,24.506,92117.0,,,4.37567186,78.691,81.171,75.909,9.0,18730.0047966374,,48156.0,43961.0,8.51,95.0,801.54382324,19.0584631585727,19.0584631585727,,0.0,0.0,22.26,4.74,52.46,98.35,9.83788205153193,0.8401906058543227,0.6379890406995399,0.9778195994085226,,0.95,0.8514998114905963
Antigua and Barbuda,ATG,2020,1.569,24.433,92664.0,,,5.92146206,78.841,81.316,76.061,9.0,15224.8585890561,3.29,48428.0,44236.0,6.66,96.0,875.70098877,19.6982695582914,19.6982695582914,,2.5,,22.88,4.71,52.97,98.35,9.63068480445983,0.8442750170183796,0.6083420154497973,0.9778195994085226,,0.9625,0.8482341579691749
Antigua and Barbuda,ATG,2021,1.58,24.38,93219.0,,,5.85133028,78.497,80.941,75.775,9.0,17178.5437160522,,48709.0,44511.0,,92.0,923.4072876,,,,5.0,,23.5,4.68,53.49,98.35,9.75141642570861,0.8349081007488086,0.6256170201816865,0.9778195994085226,,0.9125,0.8377111800847544
Argentina,ARG,2012,2.33,91.121,41733271.0,,7.217,9.82726669,76.467,79.953,72.939,8802.0,13082.664325572,4.6,21099001.0,20634269.0,8.4,91.0,1361.99157715,13.3571618542264,13.3571618542264,18835226.0,24.0,15.11,25.36,1.36,55.72,92.98,9.479043298883855,0.7796324029952347,0.5866442390157525,0.9056324774835328,0.8001235712079087,0.9,0.7944065381404857
Argentina,ARG,2013,2.322,91.249,42202935.0,,7.1,9.78097916,76.491,79.927,73.011,8469.0,13080.2547323367,4.8,21332490.0,20870445.0,8.48,94.0,1415.21008301,14.7643699932772,14.7643699932772,18964106.0,24.0,14.23,26.15,1.35,56.63,92.98,9.478859099770844,0.780285908781484,0.586617882701508,0.9056324774835328,0.8034094419636588,0.9375,0.8026891421860366
Argentina,ARG,2014,2.312,91.377,42669500.0,,7.268,9.67129993,76.755,80.004,73.424,8148.0,12334.7982453893,4.86,21562981.0,21106519.0,8.63,94.0,1280.61486816,13.9500593062949,13.9500593062949,19049721.0,25.0,15.12,26.98,1.34,57.56,92.98,9.42017967255805,0.7874744724302245,0.5782216781920302,0.9056324774835328,0.7986912685707866,0.9375,0.8015039793353148
Argentina,ARG,2015,2.301,91.503,43131966.0,,7.58,10.22933674,76.76,80.188,73.294,7846.0,13789.060424772,4.97,21791541.0,21340426.0,8.57,94.0,1525.05310059,14.6245514656634,14.6245514656634,19229476.0,26.0,13.59,27.84,1.33,58.49,99.54,9.531630833931784,0.7876106194690267,0.594168779044246,0.9938163731684367,0.7899289465554526,0.9375,0.8206049436474323
Argentina,ARG,2016,2.241,91.627,43590368.0,,8.083,9.85558891,76.308,79.67,72.933,7494.0,12790.2641396135,4.97,22019065.0,21571303.0,8.6,92.0,1258.3079834,14.2700594540808,14.2700594540808,19404277.0,27.0,13.68,28.75,1.32,59.44,99.59,9.45643954640135,0.7753029271613344,0.5834099584929299,0.9944885065196936,0.7758025107422699,0.9125,0.8083007805832455
Argentina,ARG,2017,2.168,91.749,44044811.0,,8.347,10.23174763,76.833,80.085,73.526,7069.0,14613.0356486571,5.02,22244116.0,21800696.0,8.34,86.0,1494.83605957,13.9690174802422,13.9690174802422,19580710.0,27.0,14.46,29.7,1.32,60.38,99.65,9.589669261988346,0.7895983662355343,0.6024732655485939,0.9952950665412018,0.7683882382677564,0.8375,0.7986509873186173
Argentina,ARG,2018,2.039,91.87,44494502.0,,9.221,10.29146862,76.999,80.329,73.631,6562.0,11795.1627452798,3.71,22467488.0,22027014.0,8.04,86.0,1216.10681152,14.1850800443346,14.1850800443346,20103008.0,27.0,15.06,30.68,1.31,61.32,99.71,9.375444789565984,0.7941184479237575,0.5718207427339034,0.99610162656271,0.7438425028786475,0.8375,0.7886766640198036
Argentina,ARG,2019,1.994,91.991,44938712.0,,9.843,10.04194355,77.284,80.681,73.857,6120.0,9963.67416171662,3.71,22689693.0,22249019.0,8.04,83.0,1016.23083496,14.3996238920365,14.3996238920365,20607477.0,29.0,13.67,31.68,1.31,62.26,99.76,9.206701174293432,0.8018788291354664,0.5476758938355134,0.996773759913967,0.7263740275788468,0.8,0.7745405020927587
Argentina,ARG,2020,1.911,92.111,45376763.0,,11.461,10.34701538,75.892,79.285,72.546,5771.0,8500.83793850534,3.2,22911069.0,22465694.0,8.05,74.0,895.08465576,14.9081737974407,14.9081737974407,19406591.0,28.0,,32.71,1.31,63.19,99.82,9.047920018620248,0.7639754935330155,0.5249565334292038,0.9975803199354751,0.6809335243070184,0.6875,0.7309891742409426
Argentina,ARG,2021,1.885,92.229,45808747.0,,8.736,9.70880699,75.39,78.647,72.182,5461.0,10650.8604604345,3.34,23130548.0,22678199.0,,81.0,1044.77270508,,,21191985.0,29.0,,33.75,1.32,64.13,99.82,9.273395962280874,0.7503063308373042,0.5572189842550589,0.9975803199354751,0.7574634201140226,0.775,0.7675138110283722
